{'./lab_output/dec20/tmp/CTRL/CTRL_ddr_11_28_tmr_December_18_2022__21_03_16_LOG.log': './lab_output/dec20/tmp/CTRL/CTRL_ddr_11_28_tmr_December_18_2022__21_03_16_UART.log'}
Reading File:  ./lab_output/dec20/tmp/CTRL/CTRL_ddr_11_28_tmr_December_18_2022__21_03_16_LOG.log
Number of lines in log file:  3755
Number of lines in uart file:  30822
Test contains the following single or groups of events:
1 memory, 0 timeout, 0 other

Mem event group 0, File: ./lab_output/dec20/tmp/CTRL/CTRL_ddr_11_28_tmr_December_18_2022__21_03_16_UART.log
[2022-12-19 05:19:36] error addr: 0x5125a054, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a058, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a05c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a060, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a064, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a068, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a06c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a070, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a074, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a078, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a07c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a080, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a084, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a088, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a08c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a090, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a094, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a098, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a09c, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a0a0, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a0a4, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a0a8, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a0ac, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a0b0, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a0b4, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a0b8, content: 0x00000000, expected: 0xa5a5a5a5
[2022-12-19 05:19:36] error addr: 0x5125a0bc, content: 0x00000000, expected: 0xa5a5a5a5
